AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8,AS9,AS10,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,AD1,AD2,AD3,AD4,AD5,AD6,AD7,AD8,AD9,AD10,DO1,DO2,DO3,DO4,DO5,DO6,DO7,DO8,DO9,DO10,age,gender,AS,SC,AD,DO,final
4,4,3,3,5,4,1,3,1,1,5,3,3,5,5,3,1,1,1,2,5,5,5,5,0,1,2,4,0,3,1,1,3,1,3,2,5,4,2,1,29,2,29,29,30,23,AD
4,3,4,4,3,2,3,3,4,3,4,4,2,4,4,3,2,2,4,3,2,4,4,3,4,4,4,4,3,4,4,4,3,2,3,2,3,3,2,2,49,2,33,32,36,28,AD
5,4,4,5,3,3,2,2,1,1,4,4,5,5,4,3,1,2,2,1,4,4,4,4,3,3,2,2,2,2,4,3,3,3,3,4,4,5,2,3,52,1,30,31,30,34,DO
4,3,3,2,3,3,4,3,4,1,2,2,2,4,2,5,3,4,4,1,4,5,5,4,3,3,2,2,1,4,3,3,3,3,4,4,4,5,3,1,34,2,30,29,33,33,AD
4,4,4,4,4,3,2,1,2,0,2,3,5,4,4,3,2,4,3,2,4,5,5,5,2,2,2,2,2,2,4,4,4,3,4,3,5,5,4,4,52,2,28,32,31,40,DO
3,4,4,3,3,3,3,2,3,3,3,3,2,3,2,3,4,3,3,4,3,3,3,3,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,3,27,2,31,30,36,36,AD
4,5,4,3,4,3,2,2,1,1,5,2,2,4,3,2,1,1,1,1,3,4,4,2,4,3,3,4,1,2,2,1,4,2,2,2,2,4,1,1,46,2,29,22,30,21,AD
5,5,5,5,5,5,2,2,1,1,4,2,5,5,5,0,1,2,2,1,4,5,5,5,2,2,2,2,1,2,4,4,4,4,4,2,4,4,4,4,42,2,36,27,30,38,DO
3,4,3,3,4,3,2,2,2,2,4,4,2,3,3,2,3,2,3,3,4,3,3,4,2,2,2,3,2,2,4,3,4,3,4,4,4,3,3,2,31,2,28,29,27,34,DO
3,4,4,4,3,4,2,3,3,2,2,2,2,2,2,4,4,4,4,1,2,2,5,4,2,4,3,3,1,2,3,3,4,2,4,2,3,5,2,2,29,1,32,27,28,30,AS
4,2,4,4,3,4,4,4,2,2,4,2,4,4,3,4,2,3,5,3,3,4,4,4,3,3,3,4,2,3,3,2,4,2,5,2,4,5,2,2,31,2,33,34,33,31,SC
5,2,4,4,2,4,2,2,1,1,5,5,5,5,3,1,1,1,1,1,4,5,5,4,4,2,2,3,1,2,4,4,4,3,4,2,4,5,2,2,55,1,27,28,32,34,DO
4,5,5,4,4,5,2,2,2,3,4,4,5,3,3,4,3,2,2,2,2,4,5,4,4,3,2,4,4,4,2,4,3,2,2,3,1,2,3,1,43,2,36,32,36,23,AS
5,4,3,4,3,4,2,2,1,1,5,3,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,29,20,0,0,AS
4,3,3,4,4,4,2,3,1,1,5,5,5,4,4,1,2,1,2,1,1,5,5,5,1,1,1,1,1,1,4,3,4,2,4,3,5,4,2,1,24,1,29,30,22,32,DO
4,4,3,3,4,4,2,2,2,1,4,3,3,4,3,2,1,1,1,1,5,5,5,5,1,2,2,1,3,1,3,2,2,1,1,2,4,4,1,1,59,2,29,23,30,21,AD
3,4,4,4,3,4,3,3,1,2,4,5,2,3,3,2,2,2,2,1,4,5,5,4,2,3,3,3,1,2,4,4,3,4,4,3,3,3,1,2,25,2,31,26,32,31,AD
4,5,3,3,3,4,3,3,2,2,4,3,5,3,2,2,2,2,4,1,3,5,5,5,4,3,2,4,1,2,3,4,3,3,2,2,4,4,2,2,31,2,32,28,34,29,AD
4,4,4,4,4,4,2,3,1,2,4,4,3,4,4,2,2,2,3,2,4,5,5,4,3,2,1,2,1,2,4,4,2,2,3,2,4,4,2,4,52,2,32,30,29,31,AS
4,3,2,2,4,4,4,3,4,3,2,2,2,4,2,4,3,4,4,2,4,4,4,3,4,4,4,4,2,4,2,2,2,2,2,2,2,2,2,2,47,2,33,29,37,20,AD
5,5,4,5,4,5,3,3,1,1,4,4,4,5,5,3,1,3,3,1,5,5,5,5,2,2,2,3,1,2,4,4,4,4,4,4,4,5,3,4,50,2,36,33,32,40,DO
2,2,2,4,2,1,4,4,2,2,5,2,3,2,4,5,2,1,5,4,3,4,5,5,2,5,2,4,1,3,3,3,3,2,1,1,5,4,2,2,25,2,25,33,34,26,AD
5,4,5,4,5,5,1,1,1,1,2,1,1,5,3,4,2,3,4,1,5,5,5,5,3,2,1,3,1,1,5,5,5,4,5,4,4,5,3,4,33,1,32,26,31,44,DO
3,4,4,2,4,4,3,3,2,2,2,2,2,3,2,4,3,4,3,2,3,5,4,4,2,2,2,4,1,2,3,3,4,3,4,2,3,3,4,3,31,2,31,27,29,32,DO
5,5,4,5,4,4,2,4,2,1,5,4,4,5,5,4,5,2,2,1,1,1,1,1,1,1,1,2,1,1,2,2,3,4,3,2,4,4,4,4,44,1,36,37,11,32,SC
1,1,1,3,1,1,3,3,5,1,2,1,1,1,1,5,5,5,5,4,5,3,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,25,1,20,30,24,12,SC
5,5,5,4,5,5,2,4,1,1,5,4,2,5,4,1,1,1,1,1,5,5,5,5,2,2,2,1,1,1,4,5,4,2,0,4,3,3,2,3,49,2,37,25,29,30,AS
4,3,3,4,4,3,4,3,4,2,2,2,3,4,3,4,4,4,4,4,3,4,2,3,4,3,3,4,3,4,3,3,3,2,3,2,4,4,2,2,49,1,34,34,33,28,AS
2,3,3,3,4,2,2,4,3,2,4,2,3,2,3,3,2,2,4,2,3,4,5,3,3,2,2,2,2,2,4,3,4,1,2,2,4,4,3,1,23,1,28,27,28,28,AS
4,4,4,5,4,4,2,4,2,1,4,4,4,4,5,2,1,2,2,1,4,5,5,4,3,2,2,2,2,2,3,2,2,2,2,2,3,2,1,1,40,1,34,29,31,20,AS
